Date,Open,High,Low,Close,Adj Close,Volume
2018-03-26,46.650002,48.333332,46.566666,47.650002,41.241161,14150625
2018-03-27,48.016666,48.166664,47.500000,47.683334,41.269997,8877729
2018-03-28,47.483334,48.599998,46.900002,47.150002,40.808403,23399328
2018-04-02,47.599998,48.450001,47.366665,48.250000,41.760460,7534800
2018-04-03,48.299999,49.116665,47.916664,48.916664,42.337448,9860166
2018-04-04,49.099998,49.583332,47.666664,47.916664,41.471951,11741064
2018-04-05,48.333332,48.733334,47.883331,48.349998,41.846996,10456299
2018-04-06,48.349998,48.799999,47.849998,48.266666,41.774883,5684175
2018-04-09,48.333332,48.516666,47.916664,48.200001,41.717186,7065069
2018-04-10,48.333332,48.983334,48.216667,48.500000,41.976833,6792945
2018-04-11,48.666664,48.766666,48.166664,48.299999,41.803730,5636949
2018-04-12,48.833332,49.716667,48.633331,49.099998,42.496132,13782747
2018-04-13,49.033333,49.233334,47.366665,47.500000,41.111324,14176671
2018-04-16,47.700001,47.733334,46.233334,46.349998,40.115993,17572878
2018-04-17,46.666664,46.950001,45.950001,46.316666,40.087147,10461405
2018-04-18,46.633331,46.833332,46.099998,46.233334,40.015026,13714419
2018-04-19,46.000000,46.033333,45.083332,45.383331,39.279346,15710562
2018-04-20,44.650002,44.783333,43.500000,44.099998,38.168621,24909216
2018-04-23,44.150002,46.299999,44.150002,45.750000,39.596706,26176191
2018-04-24,46.033333,46.183334,45.099998,45.266666,39.178368,9272688
2018-04-25,45.266666,45.266666,43.933334,44.266666,38.312870,8935848
2018-04-26,44.299999,44.483334,43.533333,43.683334,37.807995,15748587
2018-04-27,43.766666,44.900002,43.666664,44.400002,38.428272,13382757
2018-04-30,43.849998,44.316666,43.599998,43.733334,37.851280,13847460
2018-05-02,44.000000,44.083332,43.266666,43.433334,37.591629,9106338
2018-05-03,43.333332,43.483334,42.299999,42.966667,37.187721,14574378
2018-05-04,43.216667,44.099998,43.000000,43.200001,37.389679,7078263
2018-05-07,43.299999,43.983334,42.783333,43.766666,37.880123,7313223
2018-05-08,43.966667,44.283333,43.733334,43.966667,38.053219,8788539
2018-05-09,43.933334,44.250000,43.833332,44.116665,38.183044,6669102
2018-05-10,44.133331,44.266666,43.116665,43.266666,37.447369,6999927
2018-05-11,43.333332,43.533333,42.500000,42.616665,36.884785,7212126
2018-05-14,42.833332,42.833332,41.466667,41.916664,36.278946,9882675
2018-05-15,41.366665,42.616665,39.766666,40.066666,34.677761,37511736
2018-05-16,39.833332,41.099998,37.466667,40.549999,35.096092,28314477
2018-05-17,40.599998,42.250000,39.516666,41.799999,36.177971,22246566
2018-05-18,41.566666,42.166664,40.333332,40.483334,35.038395,11526891
2018-05-21,40.000000,40.500000,38.916664,39.099998,33.841110,9176997
2018-05-22,38.666664,39.816666,38.266666,39.033333,33.783417,16655865
2018-05-23,38.950001,39.566666,38.700001,38.933334,33.696861,8386623
2018-05-24,39.049999,39.233334,38.383331,38.683334,33.480484,7425024
2018-05-25,38.799999,39.733334,38.516666,39.483334,34.172890,8685510
2018-05-28,39.666664,41.799999,39.583332,41.200001,35.658665,21852888
2018-05-29,41.166664,41.516666,40.666664,40.933334,35.427868,13140726
2018-05-30,39.466667,40.066666,38.900002,39.816666,34.461395,25204605
2018-05-31,39.966667,39.966667,37.950001,38.133331,33.004463,27125460
2018-06-01,38.000000,38.566666,36.733334,37.133331,32.138958,20689938
2018-06-04,37.333332,38.133331,36.666664,37.366665,32.340912,24504603
2018-06-05,37.383331,38.116665,37.000000,37.666664,32.600563,17626572
2018-06-06,37.666664,38.966667,37.583332,38.733334,33.523769,19982229
2018-06-07,39.900002,40.750000,38.750000,40.566666,35.110516,32471313
2018-06-08,39.833332,40.216667,39.333332,39.516666,34.201740,10464249
2018-06-11,39.433334,40.400002,39.433334,39.650002,34.317139,6191661
2018-06-12,39.599998,40.616665,39.500000,40.466667,35.023964,10322559
2018-06-13,40.666664,40.750000,39.500000,39.733334,34.389263,8779887
2018-06-14,39.583332,39.650002,38.483334,38.716667,33.509338,11821971
2018-06-15,38.833332,39.700001,38.466667,38.950001,33.711296,21030120
2018-06-18,38.983334,39.133331,37.799999,38.099998,32.975609,9619353
2018-06-19,37.983334,38.400002,37.583332,37.816666,32.730389,10429416
2018-06-20,37.733334,38.066666,37.033333,37.250000,32.239944,10259367
2018-06-21,37.466667,37.466667,36.016666,36.450001,31.547529,16149600
2018-06-22,36.433334,36.766666,35.733334,36.566666,31.648508,17661147
2018-06-25,36.483334,37.000000,35.783333,36.466667,31.561964,18864450
2018-06-26,36.299999,36.400002,35.083332,35.333332,30.581055,19411377
2018-06-27,35.333332,35.333332,33.933334,34.799999,30.119459,26922588
2018-06-28,34.416664,35.166664,33.766666,34.583332,29.931932,24051936
2018-06-29,34.883331,36.433334,34.799999,36.216667,31.345587,19270500
2018-07-02,36.283333,36.283333,34.599998,35.200001,30.465662,18396411
2018-07-03,35.000000,35.950001,34.766666,35.816666,30.999380,18868143
2018-07-04,35.616665,35.750000,34.616665,34.783333,30.105034,13058145
2018-07-05,34.766666,35.216667,34.000000,34.083332,29.499180,10440048
2018-07-06,34.166664,37.416664,34.099998,36.933334,31.965860,53028897
2018-07-09,37.233334,37.533333,35.683334,35.916664,31.085932,22921557
2018-07-10,36.166664,37.716667,35.933334,37.599998,32.542862,26831130
2018-07-11,37.666664,37.733334,35.900002,36.099998,31.244608,23040108
2018-07-12,36.333332,36.916664,35.033333,35.333332,30.581055,17688438
2018-07-13,35.799999,36.233334,34.250000,34.599998,29.946354,21314028
2018-07-16,34.716667,35.033333,33.500000,33.666664,29.138554,15895158
2018-07-17,34.066666,34.816666,33.599998,34.683334,30.018488,24264597
2018-07-18,34.733334,35.016666,33.000000,33.183334,28.720232,24044445
2018-07-19,33.299999,33.733334,32.233334,32.633331,28.244200,19658436
2018-07-20,32.799999,34.733334,32.583332,34.549999,29.903082,27581040
2018-07-23,34.400002,34.799999,33.383331,34.266666,29.657852,16157148
2018-07-24,34.283333,35.849998,34.150002,35.633331,30.840712,22493088
