Date,Open,High,Low,Close,Adj Close,Volume
2018-03-22,48.750000,48.900002,46.250000,46.549999,43.770046,320592
2018-03-23,45.200001,46.000000,43.299999,44.000000,41.372330,533673
2018-03-26,44.000000,46.400002,42.799999,46.000000,43.252892,714671
2018-03-27,46.549999,47.500000,45.950001,46.299999,43.534973,290839
2018-03-28,45.950001,46.200001,43.950001,44.150002,41.513378,387772
2018-04-02,44.900002,47.500000,44.299999,47.200001,44.381233,375560
2018-04-03,46.849998,48.900002,46.299999,48.500000,45.603592,347310
2018-04-04,48.900002,50.250000,47.299999,47.750000,44.898388,459641
2018-04-05,49.099998,50.349998,49.000000,49.900002,46.919987,406867
2018-04-06,49.900002,50.400002,49.099998,49.650002,46.684914,226567
2018-04-09,49.849998,51.650002,49.549999,50.450001,47.437145,410469
2018-04-10,50.700001,50.799999,49.349998,49.849998,46.872974,201179
2018-04-11,50.299999,50.299999,49.049999,49.599998,46.637901,159145
2018-04-12,49.650002,50.400002,49.049999,49.299999,46.355812,243558
2018-04-13,49.650002,49.750000,48.599998,49.099998,46.167763,186604
2018-04-16,48.599998,49.150002,48.099998,48.500000,45.603592,156765
2018-04-17,48.500000,52.500000,48.250000,51.299999,48.236378,453370
2018-04-18,52.799999,52.849998,51.000000,51.799999,48.706520,1072187
2018-04-19,51.700001,51.950001,50.549999,50.849998,47.813251,253289
2018-04-20,50.799999,50.849998,49.250000,49.599998,46.637901,307736
2018-04-23,49.500000,50.500000,49.049999,49.849998,46.872974,193467
2018-04-24,50.000000,50.750000,49.000000,49.450001,46.496857,213910
2018-04-25,49.299999,49.500000,48.250000,48.450001,45.556580,136083
2018-04-26,48.150002,49.349998,47.599998,48.049999,45.180466,183813
2018-04-27,48.299999,49.799999,48.150002,48.799999,45.885677,296899
2018-04-30,49.549999,50.599998,48.450001,48.549999,45.650604,231171
2018-05-02,48.650002,50.200001,47.099998,47.650002,44.804359,474047
2018-05-03,47.450001,47.799999,44.750000,45.700001,42.970806,338827
2018-05-04,45.700001,46.200001,45.000000,45.500000,42.782757,158821
2018-05-07,45.750000,47.500000,45.200001,47.000000,44.193169,254993
2018-05-08,50.000000,50.500000,48.500000,49.299999,46.355812,950368
2018-05-09,48.799999,49.200001,47.599998,47.950001,45.086441,235809
2018-05-10,47.950001,48.000000,45.900002,46.299999,43.534973,180084
2018-05-11,46.299999,48.400002,45.650002,46.599998,43.817062,307630
2018-05-14,47.250000,47.250000,45.750000,46.000000,43.252892,146667
2018-05-15,46.250000,46.500000,44.200001,44.849998,42.171566,265658
2018-05-16,44.500000,45.450001,43.700001,44.750000,42.077541,235706
2018-05-17,44.799999,46.200001,44.400002,45.500000,42.782757,159913
2018-05-18,45.450001,46.000000,44.549999,44.799999,42.124554,147747
2018-05-21,44.750000,45.099998,41.400002,41.849998,39.350731,294646
2018-05-22,41.650002,42.900002,41.200001,42.400002,39.867886,198463
2018-05-23,42.849998,44.000000,42.849998,43.500000,40.902187,306834
2018-05-24,44.500000,44.500000,42.650002,43.500000,40.902187,136316
2018-05-25,43.549999,45.349998,43.049999,44.700001,42.030525,451207
2018-05-28,44.849998,46.099998,42.000000,42.150002,39.632813,726832
2018-05-29,41.950001,42.849998,40.750000,40.900002,38.457470,476860
2018-05-30,40.650002,41.000000,39.799999,40.049999,37.658230,419857
2018-05-31,40.200001,40.299999,39.049999,39.299999,36.953014,333330
2018-06-01,39.500000,39.500000,37.250000,37.450001,35.213493,503230
2018-06-04,37.450001,37.650002,35.400002,35.849998,33.709049,400780
2018-06-05,35.250000,35.750000,34.549999,35.349998,33.238903,476759
2018-06-06,35.450001,35.450001,33.450001,34.000000,31.969536,410282
2018-06-07,34.799999,35.650002,34.099998,35.349998,33.238903,535292
2018-06-08,35.700001,36.750000,35.000000,35.950001,33.803074,717098
2018-06-11,36.200001,37.200001,35.799999,36.349998,34.179188,375951
2018-06-12,36.400002,37.500000,35.900002,37.150002,34.931416,382662
2018-06-13,37.450001,38.599998,37.099998,37.299999,35.072456,509145
2018-06-14,37.799999,37.799999,36.450001,37.000000,34.790371,233495
2018-06-15,37.250000,37.250000,36.500000,36.799999,34.602314,215732
2018-06-18,36.700001,36.700001,35.500000,35.700001,33.568001,212636
2018-06-19,35.650002,35.650002,34.299999,34.599998,32.533699,241215
2018-06-20,34.549999,36.500000,34.049999,35.750000,33.615021,266981
2018-06-21,36.299999,36.299999,34.549999,35.099998,33.003834,191013
2018-06-22,34.950001,35.900002,34.000000,35.250000,33.144878,190741
2018-06-25,36.049999,36.250000,34.750000,35.650002,33.520996,303900
2018-06-26,35.200001,35.549999,34.250000,34.950001,32.862801,197360
2018-06-27,34.900002,34.900002,32.750000,33.299999,31.311331,293172
2018-06-28,32.849998,33.400002,31.299999,31.700001,29.806887,282985
2018-06-29,32.700001,33.450001,31.150000,33.250000,31.264318,261449
2018-07-02,33.650002,33.650002,31.350000,31.799999,29.900913,211506
2018-07-03,31.799999,33.950001,30.650000,32.349998,30.418064,262266
2018-07-04,32.500000,32.549999,31.500000,32.200001,30.277025,206829
2018-07-05,31.950001,32.950001,31.500000,32.549999,30.606119,213230
2018-07-06,32.250000,33.250000,31.700001,33.049999,31.076260,224450
