Date,Open,High,Low,Close,Adj Close,Volume
2018-03-19,8.960000,9.020000,8.930000,8.990000,7.870386,11571800
2018-03-20,9.025000,9.125000,9.010000,9.105000,7.971064,11714000
2018-03-21,9.100000,9.125000,9.015000,9.020000,7.896651,11720000
2018-03-22,8.960000,8.980000,8.845000,8.845000,7.743444,12787800
2018-03-23,8.990000,9.005000,8.865000,8.865000,7.760953,12422200
2018-03-26,8.900000,8.990000,8.815000,8.985000,7.866009,7530000
2018-03-27,8.970000,9.010000,8.815000,8.860000,7.756575,8988600
2018-03-28,8.825000,8.880000,8.750000,8.845000,7.743444,10084400
2018-03-29,8.880000,8.980000,8.805000,8.925000,7.813483,9813800
2018-04-02,8.895000,8.945000,8.750000,8.775000,7.682162,8026000
2018-04-03,8.815000,8.895000,8.775000,8.840000,7.739067,9244800
2018-04-04,8.735000,8.930000,8.720000,8.915000,7.804727,13969200
2018-04-05,8.965000,9.005000,8.925000,8.935000,7.822237,9677200
2018-04-06,8.815000,8.820000,8.695000,8.745000,7.655898,11383800
2018-04-09,8.745000,8.780000,8.630000,8.630000,7.555222,11558600
2018-04-10,8.695000,8.725000,8.620000,8.660000,7.581484,16201800
2018-04-11,8.645000,8.735000,8.630000,8.675000,7.594616,15789400
2018-04-12,9.000000,9.110000,8.965000,9.005000,7.883519,21398000
2018-04-13,8.560000,8.625000,8.245000,8.310000,7.275074,49190000
2018-04-16,8.570000,8.615000,8.485000,8.495000,7.437034,31001800
2018-04-17,8.530000,8.540000,8.405000,8.415000,7.366997,17462400
2018-04-18,8.495000,8.535000,8.405000,8.465000,7.410770,24623600
2018-04-19,8.505000,8.590000,8.450000,8.585000,7.515826,15478000
2018-04-20,8.800000,8.840000,8.650000,8.685000,7.603371,17252000
2018-04-23,8.805000,8.810000,8.680000,8.710000,7.625258,19402600
2018-04-24,8.530000,8.630000,8.500000,8.545000,7.480807,19468600
2018-04-25,8.550000,8.690000,8.510000,8.605000,7.533334,14151800
2018-04-26,8.690000,8.810000,8.690000,8.730000,7.642767,9746400
2018-04-27,8.775000,8.840000,8.770000,8.810000,7.712804,9669800
2018-04-30,8.905000,8.930000,8.795000,8.835000,7.734691,11187400
2018-05-01,8.815000,8.820000,8.755000,8.820000,7.721558,6275800
2018-05-02,8.850000,8.930000,8.820000,8.885000,7.778464,14506800
2018-05-03,8.835000,8.865000,8.740000,8.840000,7.739067,6899400
2018-05-04,8.755000,8.860000,8.730000,8.830000,7.730313,9887600
2018-05-07,8.740000,8.775000,8.680000,8.720000,7.634012,11304000
2018-05-08,8.665000,8.725000,8.615000,8.660000,7.581484,5599400
2018-05-09,8.720000,8.735000,8.655000,8.735000,7.647143,4722000
2018-05-10,8.720000,8.765000,8.695000,8.725000,7.638390,6500400
2018-05-11,8.755000,8.835000,8.745000,8.780000,7.686540,6216400
2018-05-14,8.810000,8.895000,8.800000,8.825000,7.725936,7456800
2018-05-15,8.760000,8.810000,8.695000,8.760000,7.669031,4797800
2018-05-16,8.795000,8.825000,8.755000,8.775000,7.682162,4999400
2018-05-17,8.745000,8.745000,8.630000,8.680000,7.598994,7953800
2018-05-18,8.685000,8.725000,8.660000,8.680000,7.598994,7760200
2018-05-21,8.690000,8.710000,8.625000,8.695000,7.612126,7475000
2018-05-22,8.725000,8.805000,8.700000,8.760000,7.669031,9099000
2018-05-23,8.680000,8.950000,8.640000,8.905000,7.795972,21593200
2018-05-24,8.940000,9.250000,8.940000,9.120000,7.984197,26357000
2018-05-25,9.100000,9.175000,9.080000,9.160000,8.019216,8715600
2018-05-29,9.025000,9.055000,8.940000,9.000000,7.879142,12508000
2018-05-30,9.030000,9.070000,8.960000,9.070000,7.940422,10066800
2018-05-31,9.090000,9.155000,9.080000,9.095000,7.962309,11609800
2018-06-01,9.135000,9.170000,9.110000,9.145000,8.006083,6089400
2018-06-04,9.185000,9.230000,9.175000,9.220000,8.071744,4743000
2018-06-05,9.150000,9.195000,9.090000,9.180000,8.036724,6070400
2018-06-06,9.230000,9.370000,9.210000,9.370000,8.203060,6417200
2018-06-07,9.365000,9.400000,9.280000,9.285000,8.128646,6047600
2018-06-08,9.290000,9.400000,9.280000,9.365000,8.198683,7230600
2018-06-11,9.365000,9.405000,9.320000,9.375000,8.207438,5146000
2018-06-12,9.400000,9.530000,9.385000,9.500000,8.316872,7466200
2018-06-13,9.500000,9.550000,9.405000,9.410000,8.238080,9597600
2018-06-14,9.245000,9.245000,9.075000,9.080000,8.151447,11047200
2018-06-15,9.295000,9.385000,9.280000,9.365000,8.407303,11280400
2018-06-18,9.250000,9.275000,9.205000,9.220000,8.277132,10883200
2018-06-19,9.150000,9.150000,9.075000,9.100000,8.169403,15387000
2018-06-20,9.110000,9.135000,9.070000,9.080000,8.151447,7358200
2018-06-21,9.115000,9.135000,9.080000,9.115000,8.182869,7455600
2018-06-22,9.195000,9.375000,9.150000,9.360000,8.402815,16286600
2018-06-25,9.330000,9.355000,9.285000,9.320000,8.366905,9240800
2018-06-26,9.300000,9.375000,9.275000,9.360000,8.402815,8451400
2018-06-27,9.270000,9.395000,9.245000,9.330000,8.375883,13818000
2018-06-28,9.330000,9.530000,9.315000,9.500000,8.528498,15941000
2018-06-29,9.575000,9.755000,9.565000,9.715000,8.721512,19214800
2018-07-02,9.695000,9.825000,9.690000,9.805000,8.802308,9753600
2018-07-03,9.900000,9.930000,9.805000,9.845000,8.838216,7878400
2018-07-05,9.490000,9.685000,9.455000,9.670000,8.681111,21795200
2018-07-06,9.560000,9.610000,9.515000,9.575000,8.595827,13426600
2018-07-09,9.630000,9.720000,9.615000,9.700000,8.708043,13745400
2018-07-10,9.725000,9.940000,9.640000,9.890000,8.878614,17864000
2018-07-11,9.765000,9.895000,9.765000,9.880000,8.869638,15992400
2018-07-12,9.770000,10.045000,9.740000,10.005000,8.981853,28335600
2018-07-13,9.560000,9.815000,9.550000,9.710000,8.717023,27224000
2018-07-16,9.865000,9.885000,9.770000,9.800000,8.797819,14771800
2018-07-17,9.785000,9.970000,9.760000,9.950000,8.932479,12135400
2018-07-18,9.880000,9.910000,9.830000,9.840000,8.833727,5833800
2018-07-19,9.720000,9.905000,9.720000,9.855000,8.847195,14995000
2018-07-20,9.950000,10.075000,9.945000,10.005000,8.981853,10394600
2018-07-23,10.025000,10.090000,9.995000,10.075000,9.044695,6873400
2018-07-24,10.175000,10.210000,10.130000,10.195000,9.152423,8553200
2018-07-25,10.220000,10.340000,10.205000,10.290000,9.237709,7539200
2018-07-26,10.255000,10.300000,10.220000,10.270000,9.219754,9587400
2018-07-27,10.300000,10.315000,10.115000,10.170000,9.129981,8674800
2018-07-30,10.100000,10.150000,9.940000,9.970000,8.950432,14123200
2018-07-31,10.055000,10.105000,10.035000,10.090000,9.058163,16554000
2018-08-01,10.125000,10.180000,10.100000,10.175000,9.134469,9094000
2018-08-02,10.090000,10.220000,10.060000,10.190000,9.147935,14119600
2018-08-03,10.175000,10.275000,10.130000,10.270000,9.219754,8424400
2018-08-06,10.215000,10.305000,10.160000,10.295000,9.242196,6577600
2018-08-07,10.325000,10.330000,10.150000,10.300000,9.246688,9157800
2018-08-08,10.300000,10.430000,10.265000,10.375000,9.314016,7491200
2018-08-09,10.425000,10.490000,10.410000,10.450000,9.381347,5629600
2018-08-10,10.355000,10.420000,10.335000,10.400000,9.336460,4435400
2018-08-13,10.435000,10.475000,10.395000,10.410000,9.345437,4827600
2018-08-14,10.405000,10.475000,10.385000,10.450000,9.381347,5472800
2018-08-15,10.390000,10.450000,10.300000,10.435000,9.367881,6000200
2018-08-16,10.500000,10.520000,10.455000,10.495000,9.421745,6288200
2018-08-17,10.490000,10.570000,10.465000,10.540000,9.462143,7209600
2018-08-20,10.250000,10.390000,10.145000,10.250000,9.201799,12304800
2018-08-21,10.295000,10.375000,10.225000,10.245000,9.197310,8231200
2018-08-22,10.245000,10.285000,10.205000,10.250000,9.201799,10869000
2018-08-23,10.300000,10.365000,10.180000,10.190000,9.147935,11189200
2018-08-24,10.215000,10.215000,10.090000,10.150000,9.112026,7687000
2018-08-27,10.325000,10.390000,10.260000,10.270000,9.219754,7388600
2018-08-28,10.350000,10.355000,10.305000,10.325000,9.269130,7254000
2018-08-29,10.220000,10.265000,10.160000,10.175000,9.134469,12943200
2018-08-30,10.180000,10.255000,10.135000,10.230000,9.183844,9159000
2018-08-31,10.310000,10.400000,10.300000,10.385000,9.322996,6992200
2018-09-04,10.430000,10.460000,10.280000,10.380000,9.318504,12184400
2018-09-05,10.190000,10.380000,10.170000,10.355000,9.296062,12774400
2018-09-06,10.295000,10.405000,10.285000,10.400000,9.336460,7225000
2018-09-07,10.390000,10.535000,10.365000,10.425000,9.358903,10373600
2018-09-10,10.380000,10.480000,10.300000,10.350000,9.291574,8940600
2018-09-11,10.360000,10.555000,10.350000,10.485000,9.412766,8671800
2018-09-12,10.570000,10.650000,10.530000,10.550000,9.471120,4392500
2018-09-13,10.600000,10.640000,10.470000,10.610000,9.524985,9522300
2018-09-14,10.520000,10.540000,10.270000,10.320000,9.264641,10702000
2018-09-17,10.210000,10.290000,10.200000,10.250000,9.201799,7260000
2018-09-18,10.180000,10.180000,10.080000,10.140000,9.103048,6657600
2018-09-19,10.200000,10.230000,9.990000,10.010000,8.986342,11042600
2018-09-20,10.080000,10.100000,9.970000,10.070000,9.040207,9811500
2018-09-21,10.040000,10.040000,9.890000,9.930000,8.914524,7935600
2018-09-24,10.040000,10.070000,9.930000,9.950000,8.932479,12798900
2018-09-25,10.060000,10.190000,10.030000,10.150000,9.112026,10763500
2018-09-26,10.060000,10.200000,10.030000,10.060000,9.031231,6388300
2018-09-27,10.100000,10.200000,10.070000,10.100000,9.067140,8822100
2018-09-28,10.220000,10.250000,10.120000,10.170000,9.129981,9329800
2018-10-01,10.340000,10.390000,10.300000,10.370000,9.309528,7440100
2018-10-02,10.320000,10.320000,10.200000,10.270000,9.219754,9053800
2018-10-03,10.120000,10.150000,10.010000,10.040000,9.013276,10073600
2018-10-04,9.810000,10.020000,9.800000,10.000000,8.977365,14905600
2018-10-05,10.020000,10.190000,10.010000,10.170000,9.129981,8296800
2018-10-08,9.970000,10.070000,9.920000,10.030000,9.004296,9091600
2018-10-09,9.970000,10.040000,9.930000,10.020000,8.995321,8825600
2018-10-10,9.810000,9.840000,9.630000,9.740000,8.743954,23251500
2018-10-11,9.530000,9.680000,9.460000,9.520000,8.546452,18729300
2018-10-12,9.650000,9.760000,9.570000,9.740000,8.743954,11524500
2018-10-15,9.850000,9.960000,9.790000,9.910000,8.896569,17032800
2018-10-16,9.950000,10.520000,9.910000,10.220000,9.174868,27500700
2018-10-17,10.060000,10.060000,9.740000,9.800000,8.797819,20694700
2018-10-18,9.780000,9.780000,9.350000,9.540000,8.564406,21337000
2018-10-19,9.600000,9.760000,9.540000,9.580000,8.600316,8651900
2018-10-22,9.570000,9.580000,9.400000,9.480000,8.510543,9586300
2018-10-23,9.240000,9.420000,9.220000,9.400000,8.438723,10275200
2018-10-24,9.300000,9.370000,9.050000,9.060000,8.133493,11702500
2018-10-25,9.080000,9.200000,9.050000,9.110000,8.265046,9126200
2018-10-26,8.990000,9.050000,8.850000,9.020000,8.183391,8647400
2018-10-29,9.080000,9.100000,8.880000,8.970000,8.138029,9618300
2018-10-30,9.160000,9.320000,9.100000,9.190000,8.337624,13429500
2018-10-31,9.450000,9.540000,9.410000,9.470000,8.591653,9089200
2018-11-01,9.390000,9.400000,9.210000,9.300000,8.437422,12112500
2018-11-02,9.340000,9.410000,9.230000,9.250000,8.392058,8302600
2018-11-05,9.290000,9.470000,9.290000,9.400000,8.528146,9240100
2018-11-06,9.440000,9.550000,9.390000,9.480000,8.600726,6901300
2018-11-07,9.620000,9.690000,9.580000,9.610000,8.718670,6291500
2018-11-08,9.610000,9.650000,9.460000,9.510000,8.627944,5057100
2018-11-09,9.410000,9.500000,9.370000,9.490000,8.609798,5318600
2018-11-12,9.420000,9.470000,9.270000,9.340000,8.473712,7691300
2018-11-13,9.370000,9.460000,9.330000,9.400000,8.528146,5937800
2018-11-14,9.410000,9.440000,9.160000,9.250000,8.392058,5406400
2018-11-15,9.270000,9.370000,9.160000,9.330000,8.464641,7020900
2018-11-16,9.280000,9.370000,9.250000,9.330000,8.464641,4709700
2018-11-19,9.330000,9.330000,9.210000,9.290000,8.428349,6507000
2018-11-20,9.180000,9.190000,9.050000,9.090000,8.246901,7108500
2018-11-21,8.990000,9.100000,8.950000,9.070000,8.228754,7539300
2018-11-23,9.050000,9.160000,9.050000,9.090000,8.246901,3158400
2018-11-26,9.070000,9.210000,9.060000,9.180000,8.328551,6051900
