Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,10738.450195,10893.250000,10550.900391,10714.299805,10714.299805,4683800
2018-07-01,10732.349609,11366.000000,10604.650391,11356.500000,11356.500000,4648500
2018-08-01,11359.799805,11760.200195,11234.950195,11680.500000,11680.500000,4923000
2018-09-01,11751.799805,11751.799805,10850.299805,10930.450195,10930.450195,5151800
2018-10-01,10930.900391,11035.650391,10004.549805,10386.599609,10386.599609,7030800
2018-11-01,10441.700195,10922.450195,10341.900391,10876.750000,10876.750000,5318400
2018-12-01,10930.700195,10985.150391,10333.849609,10862.549805,10862.549805,6533100
2019-01-01,10868.849609,10987.450195,10583.650391,10830.950195,10830.950195,7273800
2019-02-01,10851.349609,11118.099609,10585.650391,10792.500000,10792.500000,7461400
2019-03-01,10842.650391,11630.349609,10817.000000,11623.900391,11623.900391,6857200
2019-04-01,11665.200195,11856.150391,11549.099609,11748.150391,11748.150391,6516900
2019-05-01,11725.549805,12041.150391,11108.299805,11922.799805,11922.799805,8645600
2019-06-01,11953.750000,12103.049805,11625.099609,11788.849609,11788.849609,6788000
2019-07-01,11839.900391,11981.750000,10999.400391,11118.000000,11118.000000,9988500
2019-08-01,11060.200195,11181.450195,10637.150391,11023.250000,11023.250000,11153100
2019-09-01,10960.950195,11694.849609,10670.250000,11474.450195,11474.450195,12210000
2019-10-01,11515.400391,11945.000000,11090.150391,11877.450195,11877.450195,15461000
2019-11-01,11886.599609,12158.799805,11802.650391,12056.049805,12056.049805,13178000
2019-12-01,12137.049805,12293.900391,11832.299805,12168.450195,12168.450195,12549800
2020-01-01,12202.150391,12430.500000,11929.599609,11962.099609,11962.099609,10965400
2020-02-01,11627.450195,12246.700195,11175.049805,11201.750000,11201.750000,10198200
2020-03-01,11387.349609,11433.000000,7511.100098,8597.750000,8597.750000,21303000
2020-04-01,8584.099609,9889.049805,8055.799805,9859.900391,9859.900391,12736300
2020-05-01,9533.500000,9598.849609,8806.750000,9580.299805,9580.299805,13675900
2020-06-01,9726.849609,10553.150391,9544.349609,10302.099609,10302.099609,16778800
2020-07-01,10323.799805,11341.400391,10299.599609,11073.450195,11073.450195,14640200
2020-08-01,11057.549805,11794.250000,10882.250000,11387.500000,11387.500000,14035500
2020-09-01,11464.299805,11618.099609,10790.200195,11247.549805,11247.549805,12928400
2020-10-01,11364.450195,12025.450195,11347.049805,11642.400391,11642.400391,11602500
2020-11-01,11697.349609,13145.849609,11557.400391,12968.950195,12968.950195,13004600
2020-12-01,13062.200195,14024.849609,12962.799805,13981.750000,13981.750000,12077600
2021-01-01,13996.099609,14753.549805,13596.750000,13634.599609,13634.599609,13119900
2021-02-01,13758.599609,15431.750000,13661.750000,14529.150391,14529.150391,14313900
2021-03-01,14702.500000,15336.299805,14264.400391,14690.700195,14690.700195,9886800
2021-04-01,14798.400391,15044.349609,14151.400391,14631.099609,14631.099609,9344700
2021-05-01,14481.049805,15606.349609,14416.250000,15582.799805,15582.799805,9859900
2021-06-01,15629.650391,15915.650391,15450.900391,15721.500000,15721.500000,8079100
2021-07-01,15755.049805,15962.250000,15513.450195,15763.049805,15763.049805,5756800
2021-08-01,15874.900391,17153.500000,15834.650391,17132.199219,17132.199219,6349900
2021-09-01,17185.599609,17947.650391,17055.050781,17618.150391,17618.150391,6955600
2021-10-01,17531.900391,18604.449219,17452.900391,17671.650391,17671.650391,7651200
2021-11-01,17783.150391,18210.150391,16782.400391,16983.199219,16983.199219,5853100
2021-12-01,17104.400391,17639.500000,16410.199219,17354.050781,17354.050781,5499300
2022-01-01,17387.150391,18350.949219,16836.800781,17339.849609,17339.849609,5435500
2022-02-01,17529.449219,17794.599609,16203.250000,16793.900391,16793.900391,5620100
2022-03-01,16593.099609,17559.800781,15671.450195,17464.750000,17464.750000,7959500
2022-04-01,17436.900391,18114.650391,16824.699219,17102.550781,17102.550781,5658100
2022-05-01,16924.449219,17132.849609,15735.750000,16584.550781,16584.550781,6343200
2022-06-01,16594.400391,16793.849609,15183.400391,15780.250000,15780.250000,5514100
2022-07-01,15703.700195,17172.800781,15511.049805,17158.250000,17158.250000,5475300
2022-08-01,17243.199219,17992.199219,17154.800781,17759.300781,17759.300781,5589500
2022-09-01,17485.699219,18096.150391,16747.699219,17094.349609,17094.349609,6896300
2022-10-01,17102.099609,18022.800781,16855.550781,18012.199219,18012.199219,4539900
2022-11-01,18130.699219,18816.050781,17959.199219,18758.349609,18758.349609,5257200
2022-12-01,18871.949219,18887.599609,17774.250000,18105.300781,18105.300781,4741600
2023-01-01,18131.699219,18251.949219,17405.550781,17662.150391,17662.150391,5632700
2023-02-01,17811.599609,18134.750000,17255.199219,17303.949219,17303.949219,5685600
2023-03-01,17360.099609,17799.949219,16828.349609,17359.750000,17359.750000,5622200
2023-04-01,17427.949219,18089.150391,17312.750000,18065.000000,18065.000000,4459800
2023-05-01,18124.800781,18458.900391,18042.400391,18348.000000,18348.000000,3874100
