Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,16200.000000,16484.000000,16039.500000,16410.250000,16093.290039,42960
2018-04-03,16400.000000,16745.000000,16300.250000,16644.000000,16322.527344,14654
2018-04-04,16662.000000,16787.949219,16211.000000,16318.049805,16002.871094,28319
2018-04-05,16460.000000,16777.949219,16325.099609,16689.300781,16366.952148,18397
2018-04-06,17000.000000,17172.199219,16690.150391,17057.949219,16728.478516,14276
2018-04-09,16945.000000,17387.349609,16945.000000,17086.349609,16756.330078,11224
2018-04-10,17249.000000,17249.000000,16870.050781,16996.150391,16667.871094,14209
2018-04-11,16938.650391,16993.000000,16752.050781,16909.699219,16583.093750,10279
2018-04-12,16826.000000,16969.199219,16666.050781,16943.349609,16616.093750,7469
2018-04-13,17098.000000,17098.000000,16811.449219,16923.400391,16596.529297,13088
2018-04-16,16800.000000,17195.449219,16752.050781,16968.300781,16640.564453,7883
2018-04-17,17140.000000,17224.949219,16850.000000,16977.199219,16649.291016,18512
2018-04-18,16975.000000,17100.000000,16955.449219,17034.849609,16705.824219,13847
2018-04-19,17127.300781,17346.750000,16981.849609,17141.900391,16810.810547,11801
2018-04-20,17270.000000,17270.000000,16818.150391,16999.849609,16671.503906,8619
2018-04-23,17100.000000,17209.900391,16910.050781,17117.250000,16786.634766,10349
2018-04-24,17117.250000,17315.800781,17041.050781,17245.900391,16912.798828,6661
2018-04-25,17151.050781,17584.150391,16930.150391,17410.800781,17074.515625,24183
2018-04-26,17410.000000,17590.599609,17110.000000,17227.349609,16894.607422,14238
2018-04-27,17398.000000,17521.000000,16879.550781,17018.949219,16690.232422,14614
2018-04-30,17198.750000,17296.750000,16841.949219,16943.800781,16616.535156,19376
2018-05-02,17048.000000,17048.000000,16475.000000,16603.699219,16283.000977,22214
2018-05-03,16615.000000,16913.750000,16527.900391,16701.050781,16378.475586,13905
2018-05-04,16750.000000,16750.000000,16285.000000,16333.650391,16018.169922,24943
2018-05-07,16400.500000,16659.000000,16210.150391,16555.849609,16236.078125,10476
2018-05-08,16510.099609,17040.000000,16455.250000,16527.599609,16208.373047,17129
2018-05-09,16580.949219,16600.949219,16320.000000,16352.900391,16037.049805,6367
2018-05-10,16400.000000,16483.900391,16030.950195,16105.400391,15794.328125,17446
2018-05-11,16200.000000,16290.000000,16035.000000,16207.200195,15894.162109,10217
2018-05-14,16199.000000,16274.950195,16010.049805,16184.500000,15871.901367,23250
2018-05-15,16250.000000,16600.199219,16085.000000,16444.500000,16126.878906,24135
2018-05-16,16300.000000,16553.250000,16161.099609,16474.949219,16156.741211,13284
2018-05-17,16589.000000,16589.000000,16227.650391,16419.050781,16101.921875,28280
2018-05-18,16419.000000,16516.300781,16228.000000,16390.199219,16073.626953,15962
2018-05-21,16390.000000,16390.000000,15999.849609,16074.799805,15764.319336,15400
2018-05-22,16130.000000,16410.050781,15740.049805,16360.250000,16044.255859,16782
2018-05-23,16342.549805,16495.000000,15925.049805,16044.000000,15734.113281,21231
2018-05-24,16100.000000,16264.950195,16001.900391,16172.849609,15860.474609,18050
2018-05-25,16172.000000,16347.650391,16105.900391,16250.299805,15936.429688,22625
2018-05-28,16325.000000,16900.300781,16281.099609,16826.400391,16501.404297,12768
2018-05-29,16890.000000,16999.849609,16462.750000,16825.650391,16500.664063,26720
2018-05-30,16824.900391,16991.000000,16551.000000,16857.550781,16531.951172,18471
2018-05-31,16900.000000,16996.599609,16511.000000,16880.599609,16554.554688,39874
2018-06-01,16757.300781,17080.000000,16580.849609,16656.400391,16334.684570,10689
2018-06-04,16800.000000,16800.000000,16180.000000,16357.549805,16041.607422,12667
2018-06-05,16349.000000,16472.300781,16058.000000,16102.000000,15790.994141,18075
2018-06-06,16102.000000,16250.000000,16102.000000,16141.299805,15829.533203,7631
2018-06-07,16200.000000,16444.699219,16185.400391,16327.849609,16012.481445,10163
2018-06-08,16262.849609,16327.799805,16055.700195,16224.400391,15911.029297,11553
2018-06-11,16241.349609,16999.000000,16094.750000,16731.699219,16408.531250,26218
2018-06-12,16730.000000,16730.000000,16190.000000,16255.000000,15941.039063,13609
2018-06-13,16385.050781,16501.000000,16220.049805,16382.250000,16065.831055,21520
2018-06-14,16499.900391,16499.900391,16161.000000,16319.349609,16004.146484,14546
2018-06-15,16319.000000,16370.950195,16089.049805,16212.750000,15899.604492,22418
2018-06-18,16254.450195,16279.900391,16085.049805,16129.599609,15818.060547,10904
2018-06-19,16106.000000,16129.549805,15571.299805,15728.700195,15424.903320,58058
2018-06-20,15810.000000,15880.000000,15403.000000,15499.950195,15200.574219,48979
2018-06-21,15500.000000,15619.950195,15213.000000,15306.299805,15010.663086,16088
2018-06-22,15306.299805,15684.150391,14980.000000,15577.799805,15276.918945,25854
2018-06-25,15650.000000,15825.500000,15551.099609,15627.099609,15325.266602,43123
2018-06-26,15699.950195,16540.000000,15589.650391,15920.950195,15613.440430,38810
2018-06-27,16048.500000,16190.000000,15690.000000,15739.900391,15435.887695,20022
2018-06-28,15798.349609,16047.700195,15450.000000,15499.349609,15199.984375,17375
2018-06-29,15623.299805,15830.000000,15418.250000,15554.200195,15253.773438,22850
2018-07-02,15640.549805,15929.150391,15427.150391,15885.549805,15578.725586,16565
2018-07-03,15850.000000,16046.150391,15635.049805,15978.450195,15669.831055,16353
2018-07-04,15950.000000,16092.400391,15864.849609,15998.099609,15689.100586,6876
2018-07-05,15997.000000,16500.000000,15889.950195,16433.900391,16116.483398,17945
2018-07-06,16450.000000,16450.000000,16065.849609,16201.450195,15888.521484,24363
2018-07-09,16350.000000,16699.000000,16102.299805,16589.250000,16268.833008,10490
2018-07-10,16736.199219,16853.099609,16501.300781,16804.800781,16480.218750,10358
